법정동코드,법정동명
26110139,부산광역시 중구 남포동4가
26110140,부산광역시 중구 남포동5가
26110141,부산광역시 중구 남포동6가
26140101,부산광역시 서구 동대신동1가
26140102,부산광역시 서구 동대신동2가
26140103,부산광역시 서구 동대신동3가
26140104,부산광역시 서구 서대신동1가
26140105,부산광역시 서구 서대신동2가
26140106,부산광역시 서구 서대신동3가
26140107,부산광역시 서구 부용동1가
26140108,부산광역시 서구 부용동2가
26140109,부산광역시 서구 부민동1가
26140110,부산광역시 서구 부민동2가
26140111,부산광역시 서구 부민동3가
26140112,부산광역시 서구 토성동1가
26140113,부산광역시 서구 토성동2가
26140114,부산광역시 서구 토성동3가
26140115,부산광역시 서구 아미동1가
26140116,부산광역시 서구 아미동2가
26140117,부산광역시 서구 토성동4가
26140118,부산광역시 서구 토성동5가
26140119,부산광역시 서구 초장동
26140120,부산광역시 서구 충무동1가
26140121,부산광역시 서구 충무동2가
26140122,부산광역시 서구 충무동3가
26140123,부산광역시 서구 남부민동
26140124,부산광역시 서구 암남동
26170101,부산광역시 동구 초량동
26170102,부산광역시 동구 수정동
26170103,부산광역시 동구 좌천동
26170104,부산광역시 동구 범일동
26200101,부산광역시 영도구 대교동1가
26200102,부산광역시 영도구 대교동2가
26200103,부산광역시 영도구 대평동1가
26200104,부산광역시 영도구 대평동2가
26200105,부산광역시 영도구 남항동1가
26200106,부산광역시 영도구 남항동2가
26200107,부산광역시 영도구 남항동3가
26200108,부산광역시 영도구 영선동1가
26200109,부산광역시 영도구 영선동2가
26200110,부산광역시 영도구 영선동3가
26200111,부산광역시 영도구 영선동4가
26200112,부산광역시 영도구 신선동1가
26200113,부산광역시 영도구 신선동2가
26200114,부산광역시 영도구 신선동3가
26200115,부산광역시 영도구 봉래동1가
26200116,부산광역시 영도구 봉래동2가
26200117,부산광역시 영도구 봉래동3가
26200118,부산광역시 영도구 봉래동4가
26200119,부산광역시 영도구 봉래동5가
26200120,부산광역시 영도구 청학동
26200121,부산광역시 영도구 동삼동
26230101,부산광역시 부산진구 양정동
26230102,부산광역시 부산진구 전포동
26230103,부산광역시 부산진구 부전동
26230104,부산광역시 부산진구 범천동
26230105,부산광역시 부산진구 범전동
26230106,부산광역시 부산진구 연지동
26230107,부산광역시 부산진구 초읍동
26230108,부산광역시 부산진구 부암동
26230109,부산광역시 부산진구 당감동
26230110,부산광역시 부산진구 가야동
26230111,부산광역시 부산진구 개금동
26260101,부산광역시 동래구 명장동
26260102,부산광역시 동래구 안락동
26260103,부산광역시 동래구 칠산동
26260104,부산광역시 동래구 낙민동
