,brand,drivetrain,exterior_color,interior_color,miles,model,photos,price,review_no,star,title,transmission,vendor,video,year
153,BMW,4wd,Black,Black,119287,325,32,7495,17,5.0,BMW 325 xi,6-speed,Luxury Imports Inc,1,2006
154,Nissan,4wd,Blue,Black,43497,Sentra,31,8000,37,5.0,Nissan Sentra 4dr Sdn I4 CVT S,a,Nelson Automotive,0,2013
155,Honda,4wd,Black,Gray,113806,Fit,24,4900,31,5.0,Honda Fit,5-speed,Albo Auto Sales,0,2009
156,Toyota,4wd,Millenium Silver Metallic,Charcoal,163193,Highlander,32,5500,10,5.0,Toyota Highlander Base,4-speed,Highland Park Truck & Auto Center,1,2002
157,Mercedes-Benz,4wd,Lunar Blue Metallic,Ginger,10622,GLS,32,63991,34,5.0,Mercedes-Benz GLS 450 Base 4MATIC,9-speed,Expo Motorcars,1,2017
158,Ford,4wd,Blue,Ebony Black,124987,Escape,32,4595,8,5.0,Ford Escape Limited,4-speed,Mula Auto Group,1,2004
159,Chevrolet,rwd,Black,Black,26138,Camaro,22,24749,60,5.0,Chevrolet Camaro 2SS,6-speed,Witt Buick,1,2015
160,Ford,4wd,Oxford White,Charcoal Black,103302,Fiesta,27,5801,1242,5.0,Ford Fiesta SE,6-speed,Dick Smith Ford,0,2012
161,Cadillac,4wd,Gold Mist Metallic,Cashmere / Cocoa,58472,Escalade,52,27994,681,5.0,Cadillac Escalade Luxury,6-speed,Gold Coast Cadillac,0,2011
162,Chevrolet,4wd,Silver Ice Metallic,Black,43083,Camaro,32,26995,6,5.0,Chevrolet Camaro SS,6-speed,Auto Group Leasing LLC,1,2015
163,Ford,4wd,Green,Black,84211,F-150,27,17990,8,5.0,Ford F-150 FX4,6-speed,Sussex Auto Group,1,2013
164,Chevrolet,4wd,Blue,Black,187013,Suburban,32,9290,43,5.0,Chevrolet Suburban LT 1500 4x4 4dr SUV,6-speed,"Auto Empire, LLC",0,2010
165,Honda,4wd,Silver,Black,83806,Civic,29,10999,16,5.0,Honda Civic EX,6-speed,Apollo Certified Pre-Owned Vehicles,0,2016
166,Dodge,rwd,Viper White Clearcoat,Red / Black,12512,Viper,32,83950,1331,5.0,Dodge Viper GTC,6-speed,eCarOne.com,1,2016
167,Toyota,4wd,Black,Gray,27940,Sienna,32,25995,7,5.0,Toyota Sienna Limited Premium,6-speed,Queens National Auto Group Corp,1,2017
168,Lexus,4wd,Tungsten Pearl,Black,59824,GX,22,31750,7,5.0,Lexus GX 460 Base,6-speed,Driven Automotive,1,2014
